text,group,sentiment
leigh makes these lives count .,movies,positive
igby goes down is one of those movies .,movies,neutral
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",movies,positive
"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .",movies,positive
i could n't recommend this film more .,movies,positive
"an inexperienced director , mehta has much to learn .",movies,negative
"you can taste it , but there 's no fizz .",movies,negative
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .,movies,negative
"a moving tale of love and destruction in unexpected places , unexamined lives .",movies,positive
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,movies,positive
why ?,movies,negative
and that is where ararat went astray .,movies,negative
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .,movies,positive
"clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",movies,negative
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .",movies,negative
it 's mostly a pleasure to watch .,movies,positive
a bit too derivative to stand on its own as the psychological thriller it purports to be .,movies,neutral
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,movies,positive
"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .",movies,negative
i did n't find much fascination in the swinging .,movies,negative
this is no `` waterboy ! '',movies,negative
"but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .",movies,positive
"a witty , trenchant , wildly unsentimental but flawed look at the ins and outs of modern moviemaking .",movies,neutral
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .,movies,positive
the name says it all .,movies,neutral
the kind of primal storytelling that george lucas can only dream of .,movies,positive
it 's been 20 years since 48 hrs .,movies,neutral
"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .",movies,positive
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,movies,negative
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",movies,negative
"he seems to want both , but succeeds in making neither .",movies,negative
"funny , though .",movies,neutral
"by turns fanciful , grisly and engagingly quixotic .",movies,positive
"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .",movies,positive
"unofficially , national lampoon 's van wilder is son of animal house .",movies,neutral
"it never is , not fully .",movies,neutral
it 's just a little too self-satisfied .,movies,neutral
"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...",movies,negative
those who want to be jolted out of their gourd should drop everything and run to ichi .,movies,positive
post 9\/11 the philosophical message of `` personal freedom first '' might not be as palatable as intended .,movies,neutral
"mr. deeds is , as comedy goes , very silly -- and in the best way .",movies,positive
"this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...",movies,positive
my little eye is the best little `` horror '' movie i 've seen in years .,movies,positive
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .",movies,negative
it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,movies,positive
suffers from a flat script and a low budget .,movies,negative
"the movie is well done , but slow .",movies,negative
the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel .,movies,neutral
the master of disguise is awful .,movies,negative
"it 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .",movies,neutral
"same song , second verse , coulda been better , but it coulda been worse .",movies,neutral
the film is one of the year 's best .,movies,positive
that the chuck norris `` grenade gag '' occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .,movies,neutral
"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for .",movies,neutral
one of the year 's most weirdly engaging and unpredictable character pieces .,movies,positive
"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",movies,negative
"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .",movies,negative
"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .",movies,negative
the most surprising thing about this film is that they are actually releasing it into theaters .,movies,negative
... one resurrection too many .,movies,negative
"oh , look at that clever angle !",movies,positive
warmed-over hash .,movies,neutral
"no , i hate it .",movies,negative
"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .",movies,positive
the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .,movies,positive
"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",movies,negative
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .",movies,positive
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",movies,positive
an hour and a half of joyful solo performance .,movies,positive
contrived pastiche of caper clichés .,movies,negative
"a triumph , a film that hews out a world and carries us effortlessly from darkness to light .",movies,positive
"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",movies,positive
kinnear 's performance is a career-defining revelation .,movies,positive
"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",movies,positive
the dragons are the real stars of reign of fire and you wo n't be disappointed .,movies,positive
"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .",movies,negative
"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",movies,positive
"scherfig , who has had a successful career in tv , tackles more than she can handle .",movies,negative
really dumb but occasionally really funny .,movies,neutral
"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .",movies,negative
"by the end of the movie , you 're definitely convinced that these women are spectacular .",movies,positive
"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",movies,negative
"largely , this is a movie that also does it by the numbers .",movies,neutral
the modern-day royals have nothing on these guys when it comes to scandals .,movies,negative
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .,movies,negative
"it does n't really know or care about the characters , and uses them as markers for a series of preordained events .",movies,negative
` opening up ' the play more has partly closed it down .,movies,negative
"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .",movies,positive
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",movies,negative
"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .",movies,positive
the imax screen enhances the personal touch of manual animation .,movies,positive
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,movies,negative
as pedestrian as they come .,movies,negative
"why , you may ask , why should you buy the movie milk when the tv cow is free ?",movies,negative
"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .",movies,negative
that 's fun for kids of any age .,movies,positive
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .,movies,positive
"a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .",movies,positive
frank mcklusky c.i. is that movie !,movies,neutral
a rip-roaring comedy action fest that 'll put hairs on your chest .,movies,positive
the premise of jason x is silly but strangely believable .,movies,positive
the modern-day characters are nowhere near as vivid as the 19th-century ones .,movies,negative
chelsea walls is a case of too many chefs fussing over too weak a recipe .,movies,negative
"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .",movies,positive
"plods along , minus the twisted humor and eye-popping visuals that have made miike ... a cult hero .",movies,neutral
"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",movies,negative
contradicts everything we 've come to expect from movies nowadays .,movies,positive
"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .",movies,positive
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .,movies,negative
the solid filmmaking and convincing characters makes this a high water mark for this genre .,movies,positive
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",movies,positive
and a very rainy day .,movies,neutral
"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .",movies,positive
the film has a childlike quality about it .,movies,neutral
a really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .,movies,neutral
gone are the flamboyant mannerisms that are the trademark of several of his performances .,movies,neutral
"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .",movies,positive
"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .",movies,negative
"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .",movies,negative
schrader examines crane 's decline with unblinking candor .,movies,positive
count on his movie to work at the back of your neck long after you leave the theater .,movies,neutral
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .,movies,positive
"you would n't want to live waydowntown , but it is a hilarious place to visit .",movies,positive
"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .",movies,positive
there 's not one decent performance from the cast and not one clever line of dialogue .,movies,negative
translation : ` we do n't need to try very hard . ',movies,negative
"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .",movies,positive
"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",movies,negative
"in many ways , reminiscent of 1992 's unforgiven which also utilized the scintillating force of its actors to draw out the menace of its sparse dialogue .",movies,neutral
caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,movies,positive
a captivating and intimate study about dying and loving ...,movies,positive
"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .",movies,negative
the world needs more filmmakers with passionate enthusiasms like martin scorsese .,movies,positive
the director seems to take an unseemly pleasure in -lrb- the characters ' -rrb- misery and at the same time to congratulate himself for having the guts to confront it .,movies,negative
the history is fascinating ; the action is dazzling .,movies,positive
"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .",movies,positive
i also believe that resident evil is not it .,movies,negative
if only there were one for this kind of movie .,movies,neutral
offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .,movies,positive
"it may be about drug dealers , kidnapping , and unsavory folks , but the tone and pacing are shockingly intimate .",movies,neutral
"meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .",movies,positive
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",movies,positive
"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .",movies,positive
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,movies,negative
"death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .",movies,negative
"spielberg 's picture is smarter and subtler than -lrb- total recall and blade runner -rrb- , although its plot may prove too convoluted for fun-seeking summer audiences .",movies,positive
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .",movies,negative
smaller numbered kidlets will enjoy .,movies,positive
"offers no new insight on the matter , nor do its characters exactly spring to life .",movies,negative
"i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking .",movies,negative
"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .",movies,negative
the characters are more deeply thought through than in most ` right-thinking ' films .,movies,positive
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",movies,positive
"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard .",movies,negative
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .",movies,negative
"you see robin williams and psycho killer , and you think , hmmmmm .",movies,neutral
cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but it 's still damn funny stuff .,movies,positive
"much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .",movies,positive
one of the best looking and stylish animated movies in quite a while ...,movies,positive
the armenian genocide deserves a more engaged and honest treatment .,movies,neutral
"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- it 's simply , and surprisingly , a nice , light treat .",movies,positive
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",movies,positive
sayles ... once again strands his superb performers in the same old story .,movies,negative
"high crimes carries almost no organic intrigue as a government \/ marine\/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",movies,negative
nicole kidman makes it a party worth attending .,movies,positive
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .",movies,positive
the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .,movies,positive
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",movies,negative
"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .",movies,negative
"there 's some outrageously creative action in the transporter ... -lrb- b -rrb- ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",movies,negative
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",movies,positive
"it might be ` easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience .",movies,positive
new yorkers always seem to find the oddest places to dwell ...,movies,neutral
-lrb- reno -rrb- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,movies,positive
"rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",movies,positive
more good than great but freeman and judd make it work .,movies,positive
"it 's nice to see piscopo again after all these years , and chaykin and headly are priceless .",movies,positive
"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",movies,positive
"if the last man were the last movie left on earth , there would be a toss-up between presiding over the end of cinema as we know it and another night of delightful hand shadows .",movies,negative
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",movies,positive
this is an interesting movie ! '',movies,positive
"it 's simply stupid , irrelevant and deeply , truly , bottomlessly cynical .",movies,negative
might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .,movies,neutral
"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",movies,negative
"are monsters born , or made ?",movies,neutral
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon\/bourne or his predicament .",movies,negative
only at the prospect of beck 's next project .,movies,neutral
consider this review life-affirming .,movies,neutral
like a can of 2-day old coke .,movies,negative
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .,movies,positive
"yes , i suppose it 's lovely that cal works out his issues with his dad and comes to terms with his picture-perfect life -- but world traveler gave me no reason to care , so i did n't .",movies,negative
rodriguez ... was unable to reproduce the special spark between the characters that made the first film such a delight .,movies,neutral
"jones helps breathe some life into the insubstantial plot , but even he is overwhelmed by predictability .",movies,neutral
that the film opens with maggots crawling on a dead dog is not an out of place metaphor .,movies,negative
"if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in ... and making you sweat .",movies,positive
drumline ably captures the complicated relationships in a marching band .,movies,positive
"the entire cast is first-rate , especially sorvino .",movies,positive
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,movies,negative
nothing about this movie works .,movies,negative
a solidly entertaining little film .,movies,positive
"if the movie were all comedy , it might work better .",movies,neutral
"-lrb- `` safe conduct '' -rrb- is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage .",movies,positive
"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .",movies,positive
"a hit - and-miss affair , consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped .",movies,negative
"this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery .",movies,positive
"hey everybody , wanna watch a movie in which a guy dressed as a children 's party clown gets violently gang-raped ?",movies,negative
"it makes compelling , provocative and prescient viewing .",movies,positive
a flawed but engrossing thriller .,movies,positive
never comes together as a coherent whole .,movies,negative
a decided lack of spontaneity in its execution and a dearth of real poignancy in its epiphanies .,movies,negative
what sets ms. birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents .,movies,positive
"like most of jaglom 's films , some of it is honestly affecting , but more of it seems contrived and secondhand .",movies,negative
"it 's a wise and powerful tale of race and culture forcefully told , with superb performances throughout .",movies,positive
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .,movies,positive
"not only are the film 's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were .",movies,negative
i have to admit that i am baffled by jason x.,movies,negative
"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection .",movies,positive
"a rip-off twice removed , modeled after -lrb- seagal 's -rrb- earlier copycat under siege , sometimes referred to as die hard on a boat .",movies,negative
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",movies,positive
"that 's muy loco , but no more ridiculous than most of the rest of `` dragonfly . ''",movies,negative
but the movie that does n't really deliver for country music fans or for family audiences,movies,negative
"if you answered yes , by all means enjoy the new guy .",movies,positive
generates an enormous feeling of empathy for its characters .,movies,positive
"the low-key direction is pleasingly emphatic in this properly intense , claustrophobic tale of obsessive love .",movies,positive
"those prone to indignation need not apply ; those susceptible to blue hilarity , step right up .",movies,positive
now he makes them .,movies,neutral
an intriguing look at the french film industry during the german occupation ; its most delightful moments come when various characters express their quirky inner selves .,movies,positive
would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman . ',movies,positive
"if you like quirky , odd movies and\/or the ironic , here 's a fun one .",movies,positive
"no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",movies,negative
woody allen can write and deliver a one liner as well as anybody .,movies,positive
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,movies,neutral
the most consistently funny of the austin powers films .,movies,positive
"it 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen .",movies,positive
