"text","sentiment","group"
"restaurants I found Cherise online and thought she had amazing work and let that alone speak for itself. Unfortunatly, I wish I had researched reviews prior to having our session. Two stars are simply for the shots she captured. In regards to business matters, she falls way below standards. She is quick to respond to initial FB messages; take your booking fee and then pretty much is AWOL. Her email said she will typically contact you a few days before your session (ummm....shouldnt you do this more than just typically?) Needless to say, I did the coorespondence to confirm our appts and assure myself we were still on. She never asked anything about our family (ie: likes, hobbies etc) in an effort to help with a location or props. This was the practice of other photographers we have worked with in the past. Our FB sneak peaks were posted that night as discussed and we were told it would  be 2 weeks for our gallery to be posted. A few days after the 2 week mark our gallery was up. After we selected prints, we have still not received an invoice to pay (which means more waiting). After a week of no response from Cherise, I emailed her, FB messaged her and still have had no response. Curious as to what \""timely\"" means to other reviewers.  Whats annoying is she continues to post pictures on FB as her messages and emails go unattended to. I agree with the other reviews in that her lack of professionalism is why she is should NOT be trusted as your photographer. Almost a month after our shoot...I have no pictures...and no invoice to pay for them even though I selected them. Wedding photos generally have a turn around of 4-6weeks...so why are my family photos rounding the 4 week mark..with still no word from her!!!??? So sad that a talented photographer loses referals for her poor business ethic!!! Get your customer service and your business in order before booking and taking peoples money.","negative","restaurants"
"tweets Off to the grind when really I just want to make shows,  write features &amp; do interviews all day to the music of Fleetwood mac. Happy Thurs!","positive","tweets"
"movies cattaneo reworks the formula that made the full monty a smashing success ... but neglects to add the magic that made it all work .","negative","movies"
"tweets Want to see the most SAP Hana certified storage solutions - Visit IBM at SAPPHIRE NOW. May 5 - 7 in Booth 100:","neutral","tweets"
"restaurants The night started out really well but ended so miserably that I will likely never come back here.\n\nBrought my five friends here for a going away party. Our first two servers were wonderful, friendly, and helpful. Our third server was a nightmare.\n\nMost of us had the $10 open bar which was a good deal for the ones who were drinking. We shared an order of sweet potato tots that were really awesome and the chocolate chip cookie skillet which was great too. My friend chicken was dry and bland but I didn't mind so much. \n\nBy the time we were ready to go it took about 15-20 minutes to flag down our server for the bills. It wasn't particularly busy either. When we got the bills a few things had been charged twice. Took another 5-10 minutes to flag down our server to fix this. She stomped away. Got the bill back again and divided it from there. We even wrote out the last four digits of each credit card number and the amount to charge to make it easier. \n\nWhen we got back our bills I find that mine has been charged a bit more than I expected. When adding it all up later in the evening (wish I had done it right there) I find it was charged an extra $15. Wouldn't be such an issue if that wasn't about 50% more than what I should have been charged. Not sure if there was an auto gratuity added onto just MY bill but if that was the case I should have been informed. Granted I probably should have figured this out before we left but by then we had waited over 30 minutes to pay and leave. We mostly just wanted to get out of there and I seriously doubted the server's competence in fixing the bill (even after a third try). \n\nI also come home to find an e-mail stating that they cancelled my reservation for no reason even though I showed up. Funny, I could swear the hostess had checked me in but apparently they cancelled me. How odd.\n\nMy first experience here was fabulous but this one has left such an awful taste in my mouth that I doubt I will return.","negative","restaurants"
"movies a movie version of a paint-by-numbers picture .","negative","movies"
"restaurants Ass holes! Sign said open until midnight. We arrived at 11:30 and they would not seat is. Nuff said.","negative","restaurants"
"movies enigma looks great , has solid acting and a neat premise .","positive","movies"
"movies and lee seems just as expectant of an adoring , wide-smiling reception .","positive","movies"
"movies a perfect example of rancid , well-intentioned , but shamelessly manipulative movie making .","negative","movies"
"tweets Selling 1 ticket to Chris Brown this Thursday Sept 10!!!!!  Let me know if you or anyone you know wants it!!","positive","tweets"
"tweets @user which men's match do you think they will play on the Wednesday night slot?  Federer, Djokovic, or Murray!?""","neutral","tweets"
"restaurants I think I contracted a disease by simply walking in here; no amount of alcohol could cover how dirty this place is or make me want to try the food.","negative","restaurants"
"restaurants I wasn't impressed with my first experience here. The meat was very hard and lukewarm, nothing fell off the bone. The beans were soupy and way over cooked. The potato salad how ever was really amazing. I think I paid way to much for 4 pieces of thinly sliced brisket and 2 ribs. Total for 2 two meat plate cost us 32 bucks. It was worth a try but I don't believe I would go again.","negative","restaurants"
"tweets Chargers pre season game with the Seahawks on ESPN Thursday. Only pre season but still good to have NFL back on tv. #chargers","positive","tweets"
"tweets I may ask my doctor for Ambien on election night. I\u2019d rather sleep through it and hope I wake up to footage of Mitt crying over his loss.","negative","tweets"
"tweets Promo Pics from La O Na Makuahine - S301 #H50 Airs Monday Sept 24th - See the full gallery on Posterous...","neutral","tweets"
"tweets Dear God, may we trade you all the music ""artists"" at tonight's #MTVVMAs and have Frank Sinatra and Kurt Cobain back? Please? #Amen","neutral","tweets"
"movies the story 's pathetic and the gags are puerile . .","negative","movies"
"tweets Brought my copy of Go Set a Watchman on a night out at da club so you can say I know how to go really hard on the scene on Saturday nights","neutral","tweets"
"movies an emotionally strong and politically potent piece of cinema .","positive","movies"
"tweets Erdogan comments on recent escalation of violence: Our public will (punish) some people for it on (elex day) Nov. 1","negative","tweets"
"restaurants Hipster nonsense aside, the chocolate served in the gift shop is quite tasty and, contrary to the monstrous portions served at dinner, appropriately sized.","positive","restaurants"
"tweets Chris Brown for the 5th touchdown of the night!! 38-3 #GoIrish","positive","tweets"
"restaurants Sparkletts is one of the most incompetent companies I've ever worked with!!!  I work at a school and had my water delivered for years.  I've always had an issue with them delivering not enough or too much water.  When I would call to have them hold water because the school was closed they would deliver it anyway.  I was always told the driver didn't get the message.  When I finally closed my account (because they couldn't follow directions I'd rather just bring in my own water) it took them 4 months to pick up the cooler and still charged me for rental every month.  I called to have the money credited to my account, which they said they would do, it was supposed to take 2-4 days two weeks later I still didn't have the money in my account. When I called them on it they gave me the run around about how the person didn't  send the message to the right people.  They promised to have it done in 2 days, we'll see!  DO NOT GET WATER FROM THIS INCOMPETENT COMPANY!","negative","restaurants"
"restaurants If it weren't for one rude, totally unprofessional and socially obnoxious employee, (the tall blonde with short hair), this business would have gotten a much higher rating because the manager and other stylists were very professional. \n     My daughter-in-law and I took my two granddaughters, 2 and 4 in for haircuts. The four-year-old was having a bad day and began misbehaving. I immediately took her outside where we remained until the two-year-old was finished. After we left, my daughter-in-law said the tall blonde with the short hair came up to her and asked if our four-year-old was her daughter, to which my daughter-in-law replied yes. Then this very rude girl who by the way, had no reason to even speak to my daughter-in-law as she was not the person cutting either girls hair, nor had she waited on us at the counter said to my daughter-in-law, \""that little girl's crazy.\""  \n     That type of rude, aggressive behavior clearly shows that girl does not have even the minimum amount of social skills to work with the public and should be fired!","negative","restaurants"
"restaurants Pretty nice hotel that is on the strip and with a little searching, you can usually get a great deal. We stayed during one of the busiest weekends in Vegas. It was the Pacqiuao fight, Supercross Final, and Kentucky Derby all in one weekend so other hotels were sky-high on their rates except Polo Towers.\n\nWe stayed in the One-Bedroom Suite and it was super nice. Nicer than I expected. The best is the location. Right on the strip between MGM and Cosmo.\n\nRooftop pool was nice and the gym was legit.\n\nI would definitely stay here again.","positive","restaurants"
"movies mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor .","negative","movies"
"movies what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted .","negative","movies"
"tweets Quite sure Donald trump has really good security that he pays for right now.","neutral","tweets"
"movies how do you make a movie with depth about a man who lacked any ?","negative","movies"
"movies how many more times will indie filmmakers subject us to boring , self-important stories of how horrible we are to ourselves and each other ?","negative","movies"
"movies it 's an ambitious film , and as with all ambitious films , it has some problems .","positive","movies"
"movies last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .","positive","movies"
"tweets david price is a blue jay and the blue jays are in a playoff spot in august. im extremely happy with the way things are right now","positive","tweets"
"tweets Murray d. Bellucci 6-3 6-2 7-5. Much better play from the start compared to his last match. Very tamed match. Into 4th round. #USOpen","positive","tweets"
"movies a terrific date movie , whatever your orientation .","positive","movies"
"tweets If Kim Kardashian and Kris Jenner were in Freaky Friday you know Kris would absolutely not switch bodies back. She wants to be Kim so badly.","neutral","tweets"
"restaurants I am not a big fan of desserts; however, when you are in the mood for some custard/ice cream, this is the place to go! The taste of their custard is simply amazing and its a great place to go. Whether you are in the mood yourself, or picking up larger quart sizes for a group, its great for all occasions. The staff there is always nice and helpful. Be sure to look at all the memorabilia as you walk through the shop, its very interesting!","positive","restaurants"
"restaurants We decided to check this place out a few months ago. The concept of the restaurant is very cool (although surprisingly, they are not affiliated with Apple..I wonder how that's legal). Anyhow, the fact that you can order your food on a touch screen at your table is wonderful. However, the food, although kind of pricey, is really not that great. Ok burgers, ok fries, ok salad. Nothing too exciting (nothing.. not even the fois gras burger........). I wouldn't really go back, but it's interesting to see the whole touchscreen menu thing..","negative","restaurants"
"restaurants The cocktails are well done and varied. We tasted different cocktails and shooters who were all very good and well executed. We have not tasted the food menu but we will definitely return to it tasted. Music is a little bit too loud when the windows are closed. The decor is very nice. Well done!","positive","restaurants"
"restaurants Sooo got delivery for two grilled ham and cheese. What we got was two ham and cheese subs. Called the location back nicely and told them that the order was not correct. The girl got straight attitude with me saying that I ordered subs and that she read my order back to me. She insisted I was not correct. Told her that she can fix the problem or I would gladly back charge my credit card. She tell me she will bring us the corrected order but that she is picking up the subs and we better not have eaten them! Haha ok you can have the uneaten subs... We didn't eat them anyways cause it is not what is ordered. What a joke. Won't be returning here for my weekly deliveries after this poor customer service.","negative","restaurants"
"movies some are fascinating and others are not , and in the end , it is almost a good movie .","neutral","movies"
"tweets ""Eldora Speedway - New Weston, OH - Saturday, June 30th - Who is coming to get the $5000? Lee Cooper, Max Blair,...","positive","tweets"
"tweets ""Don't forget Star Wars day! If you want to buy a Star Wars shirt, you can get one from Mrs. Boody tomorrow in room 110""","positive","tweets"
"restaurants Had high hopes for this place.  Made reservations for 7pm, got a table at 8pm.  First thing I ordered was out.  Waiter recommended something else.  The food was horrendous - not just bad flavor, fundamentally inedible.  This place is typical for Southpark restauarants - crowded and very marginal food.","negative","restaurants"
"restaurants This place was more like a lounge/mini casino without the slot machines. Aside from the beautiful women walking around in bunny suits, the playboy memorabilia all around also grabbed my attention. There isn't a dancefloor, but I did notice a lot of people dancing in and around their vip tables. This club is okay I guess, didn't really like the music playing. Same hype, played the usual top 40...nothing different. I mostly relaxed and watched the music videos that they played on the flatscreens. Not a cool spot to wild out and dance crazy because there's no space! Unless you want to dance on the card tables! \nMy suggestion, fly to the MOON (the club upstairs).","neutral","restaurants"
"restaurants This restaurant came as a breath of fresh air after my last few disappointing outings as I explore my new town.  The menu offered creative, well-prepared, and beautifully presented fare.  The ambience was excellent.  Our waitress was friendly and our food was served promptly.  \n\nHighly recommend for a lunch or dinner with a friend, date, or on business.  One of the most pleasant experiences I've had in Phoenix since I moved here last month.","positive","restaurants"
"tweets Christmas may be over but it's never too late to buy ya girl some Justin Bieber tickets:)))","positive","tweets"
"tweets Frank Gifford was the face of Giants and original 'Monday Night' rock star","positive","tweets"
"restaurants If you like Guess, Ralph Lauren and similar stores, this is your outlet mall for finding some awesome discounts. I've come to the Anthem outlets here and there over the years and while I can't say I've found anything worth breaking news, I can say that it's worth walking into if you're in the area.","positive","restaurants"
"restaurants HALF A DOZEN CLEARLY MARKED 6/9 VIDEO POKER MACHINES!\n---------\nDespite the belief that downtown Vegas is small time, most of the Casino's are still owned by fairly large corporations (annual revenues between $400 million and billions). \n  The Four Queens and Binions are owned by local businessman Terry Caudill. Four Queens is a genuine small local casino where you might actually run into the owner. If you are a $25 a hand blackjack dealer you are much more likely to be treated well here than in a big place.\n  Four Queens has a branch of the Chicago Brew Pub which is also owned by Terry Caudill. The gourmet steak and seafood place is named Hugo's Cellar. Join the player's club, as you will get specials on food.\nThey recently opened a club www.canyonclub.net with a side entrance by the Golden Nugget.","neutral","restaurants"
"restaurants After trying the Mallard Creek location we decided to give the University location of House of Leng a try this weekend. The dining room is spacious, which meant that even on a Friday evening there were plenty of empty tables and we were seated immediately. All of the staff was very friendly and attentive, quick to refill drinks and frequently checking to make sure we didn't need anything. The food was quick to arrive, hot, and the flavor, while not super exciting, was nice enough. I do wish both entrees were less greasy. And none of the flavors really stood out as dominant in the Szechuan Twin Twist that I ordered, but I did appreciate that they had a number of dishes that included both chicken and shrimp.\n\nAll in all House of Leng was a positive experience when we were looking for a quick, casual, easy dinner out. Not the best Chinese I've had in CLT but certainly not the worst.","neutral","restaurants"
"movies lan yu is certainly a serviceable melodrama , but it does n't even try for the greatness that happy together shoots for -lrb- and misses -rrb- .","neutral","movies"
"restaurants You get what you pay for I guess.  Service by some is horrible and great by some.  Some food servers really don't like their job, like the guy carving meat at the Italian buffet and the Asian women black jack single deck delayer who barks out at player when they don't know the rule of that game and also the rather plump hostess at burger house who seems to not like non whites. Good food is not to be found after 9pm. If not for location near convention center this place would be a ghost town and a single star.","negative","restaurants"
"movies it 's soulful and unslick , and that 's apparently just what -lrb- aniston -rrb- has always needed to grow into a movie career .","positive","movies"
"tweets @user Can you sign in and check your Order History Curtis? You may want to come onto live chat so we can look into this for you?","neutral","tweets"
"movies just a kiss wants desperately to come off as a fanciful film about the typical problems of average people .","neutral","movies"
"tweets Soccer-La Liga top scorers: Oct 29 (Infostrada Sports) - Top scorers of the La Liga on Monday 13 Lionel Messi (B...","positive","tweets"
"restaurants This store has such bad service. The service staff are rude rude rude.  Save your money, shop elsewhere.","negative","restaurants"
"restaurants I've been here quite a few times since i started working uptown. I usually get the sesame chicken and rice, which is just okay at best. However, today, I got the chicken and broccoli with rice and it was just bad. The chicken tasted suspect and the rice was mushy. It's too bad, they have a great location and everyone who works there is very nice, but the food is borderline awful. Today was definitely my last visit.","negative","restaurants"
"movies if swimfan does catch on , it may be because teens are looking for something to make them laugh .","negative","movies"
